Address,Ins-Cycle,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113
0x0,auipc x10 0x65536,IF,ID,EX,MEM,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x4,lw x10 0(x10),,IF,ID,EX,MEM,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x8,jal x1 0x24,,,IF,ID,EX,MEM,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xC,addi x11 x10 0,,,,IF,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,ID,EX,MEM,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x10,auipc x10 0x65536,,,,,IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,ID,EX,MEM,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x14,lw x10 -16(x10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,ID,EX,MEM,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x18,jal x1 0x64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,ID,EX,MEM,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x1C,addi x17 x0 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,ID,EX,MEM,WB,,,,
0x20,ecall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,ID,EX,-,-,MEM,WB,
0x24,addi x2 x2 -16,,,,,,IF,ID,EX,MEM,WB,,,,,,,IF,ID,EX,MEM,WB,,,,,,,IF,ID,EX,MEM,WB,,,,,,,IF,ID,EX,MEM,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,ID,-,-,,,
0x28,sw x1 8(x2),,,,,,,IF,ID,EX,MEM,WB,,,,,,,IF,ID,EX,MEM,WB,,,,,,,IF,ID,EX,MEM,WB,,,,,,,IF,ID,EX,MEM,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,-,-,,,
0x2C,sw x10 0(x2),,,,,,,,IF,ID,EX,MEM,WB,,,,,,,IF,ID,EX,MEM,WB,,,,,,,IF,ID,EX,MEM,WB,,,,,,,IF,ID,EX,MEM,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x30,addi x5 x10 -1,,,,,,,,,IF,ID,EX,MEM,WB,,,,,,,IF,ID,EX,MEM,WB,,,,,,,IF,ID,EX,MEM,WB,,,,,,,IF,ID,EX,MEM,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
